Nazwisko_aktualne,Liczba
PODGÓRSKI,6553
SOWIŃSKI,6525
KLIMCZAK,6513
GOŁĘBIOWSKI,6503
CZYŻ,6489
ROSIŃSKI,6467
BIENIEK,6394
KUŚ,6383
GODLEWSKI,6372
GRUSZKA,6359
AUGUSTYNIAK,6345
KRAWIEC,6322
SKRZYPCZAK,6311
GROCHOWSKI,6298
PTAK,6279
PANEK,6268
GIL,6231
PRZYBYŁA,6229
RÓŻAŃSKI,6168
KONOPKA,6163
KULIK,6161
WINIARSKI,6148
KOMOROWSKI,6125
SŁOWIK,6092
SIWEK,6083
ZAREMBA,6074
CYBULSKI,6040
LEŚNIEWSKI,6019
SZCZEPANIK,6016
GRZYB,5985
KŁOS,5976
KRZYŻANOWSKI,5937
MIELCZAREK,5935
CICHOŃ,5930
TOKARSKI,5924
ZARZYCKI,5916
GRACZYK,5907
MŁYNARCZYK,5886
KACZYŃSKI,5854
MIKOŁAJCZAK,5845
BUCZEK,5828
STAŃCZYK,5825
SZOSTAK,5804
WĘGRZYN,5794
BIERNAT,5791
SZYMCZYK,5787
CICHOCKI,5783
STRZELECKI,5770
JUREK,5762
SZCZYGIEŁ,5745
SKOWRON,5732
BARTKOWIAK,5718
MAĆKOWIAK,5709
BOGUSZ,5682
GĄSIOR,5680
JANUS,5679
CIEŚLA,5665
GAWRON,5657
FILIPIAK,5640
MELNYK,5632
KUCHARCZYK,5627
KALETA,5600
NIEWIADOMSKI,5600
KOSTRZEWA,5576
KULA,5562
JANIAK,5559
KUBIK,5559
KSIĄŻEK,5547
RAKOWSKI,5546
RZEPKA,5540
SIENKIEWICZ,5534
BAGIŃSKI,5530
PAŁKA,5489
GAWLIK,5488
RÓŻYCKI,5451
ANTCZAK,5434
ZARĘBA,5428
FRĄCZEK,5418
BARTCZAK,5397
MALEC,5395
TRZCIŃSKI,5367
ŻEBROWSKI,5327
ROGALSKI,5319
BANASIAK,5316
DŁUGOSZ,5300
MIKULSKI,5289
KRÓLIKOWSKI,5288
HAJDUK,5266
ROGALA,5251
ROJEK,5231
TKACZYK,5220
LACH,5211
KISIEL,5200
GRZEGORCZYK,5194
BOREK,5177
GAWROŃSKI,5157
DOBOSZ,5152
STEC,5152
TROJANOWSKI,5151
MALISZEWSKI,5108
WĄSIK,5103
RYBICKI,5099
ŚLUSARCZYK,5088
RADOMSKI,5085
WITCZAK,5078
WOLNY,5072
MIKA,5033
LIPSKI,5009
ZABOROWSKI,5005
KMIECIK,4998
WALKOWIAK,4979
BIAŁAS,4970
GRZESIAK,4951
PAWELEC,4945
GAŁĄZKA,4933
KACZOROWSKI,4928
FRĄCKOWIAK,4927
SOKÓŁ,4925
BOGUCKI,4920
KARWOWSKI,4909
WNUK,4908
BOCHENEK,4901
FRANKOWSKI,4890
CICHY,4870
ZYGMUNT,4868
ŻMUDA,4843
KWAŚNIEWSKI,4834
PASTERNAK,4821
NAWROT,4812
WIĘCKOWSKI,4812
JUSZCZAK,4791
WÓJCICKI,4783
DUDZIŃSKI,4756
GAWEŁ,4755
MROCZEK,4755
PIETRAS,4748
JANAS,4746
LASOTA,4699
ROSIAK,4696
MISIAK,4682
FIJAŁKOWSKI,4677
SKRZYPEK,4675
KARAŚ,4674
ŁAPIŃSKI,4668
WOJTCZAK,4667
WROŃSKI,4661
BUJAK,4657
PIÓRKOWSKI,4655
JĘDRZEJCZYK,4645
KRYSIAK,4644
KOŁODZIEJSKI,4631
KUBACKI,4627
DĄBEK,4622
CZYŻEWSKI,4614
GRUSZCZYŃSKI,4612
PIWOWARCZYK,4607
BURZYŃSKI,4586
GUTOWSKI,4575
SOŁTYS,4554
BOROWIEC,4545
ŁUKASZEWSKI,4543
SZAFRAŃSKI,4540
MASŁOWSKI,4539
STELMACH,4535
JAGODZIŃSKI,4527
TARNOWSKI,4525
JAGIEŁŁO,4524
ZIELONKA,4511
ZAJĄCZKOWSKI,4510
CEBULA,4496
KAŁUŻNY,4492
BOBER,4479
CYGAN,4475
KRAKOWIAK,4473
BIELAWSKI,4470
ŁUKASIEWICZ,4462
DZIUBA,4454
SKOCZYLAS,4452
LISIECKI,4449
WILCZEK,4446
WOŹNY,4442
PILARSKI,4438
KAŁUŻA,4436
FALKOWSKI,4432
FILIPEK,4432
PAKUŁA,4423
JURKIEWICZ,4419
SZCZEŚNIAK,4412
DRZEWIECKI,4402
SKIBIŃSKI,4402
JAKUBIAK,4398
JĘDRZEJCZAK,4396
KĘDZIORA,4374
SOBIERAJ,4369
GĄSIOROWSKI,4360
DĘBOWSKI,4353
STRZELCZYK,4351
FLIS,4328
RACZYŃSKI,4318
TWARDOWSKI,4315
STANEK,4308
KULIG,4304
GOŁĄB,4301
WASIAK,4293
GUZIK,4286
KUBICA,4273
MIERZEJEWSKI,4271
WIĘCEK,4267
GÓRAL,4264
GÓRNIAK,4264
RUSIN,4254
MAJCHER,4252
BARTOSIK,4221
MATUSZAK,4219
MOTYKA,4217
WOLAK,4207
GRZYWACZ,4205
ROMANIUK,4201
BURY,4196
BILSKI,4186
SZWED,4181
DROZDOWSKI,4180
FLOREK,4177
WOJTAS,4174
NOWACZYK,4163
CHOLEWA,4151
PYTEL,4150
CZAPLA,4146
KASZUBA,4139
KRUPIŃSKI,4136
STOLARCZYK,4129
URBAŃCZYK,4122
PACZKOWSKI,4116
KOPCZYŃSKI,4102
PROKOP,4101
PARTYKA,4098
BIELAK,4094
MICHAŁEK,4087
JAŚKIEWICZ,4084
ZAGÓRSKI,4081
MISZTAL,4070
GWÓŹDŹ,4067
DUBIEL,4066
KUC,4062
MALICKI,4062
KAPUSTA,4053
STASZEWSKI,4053
RUCIŃSKI,4050
BOŻEK,4032
BIAŁY,4026
KOVALCHUK,4025
SIEDLECKI,4024
JANKOWIAK,4022
ŚWIERCZYŃSKI,4011
MODZELEWSKI,4006
ANDRZEJCZAK,4002
KUCHTA,3997
KĘPA,3996
CISZEWSKI,3991
SKÓRA,3991
PŁONKA,3990
JANUSZ,3985
GAŁKA,3984
SŁOWIŃSKI,3981
BIEŃKOWSKI,3978
JURKOWSKI,3963
KACZMARSKI,3960
ZWOLIŃSKI,3960
SIERADZKI,3957
MILCZAREK,3953
SŁAWIŃSKI,3950
STACHURA,3949
SZCZERBA,3944
PAWLIKOWSKI,3935
SZYSZKA,3933
SITEK,3931
SOCHACKI,3930
JEZIERSKI,3919
STĘPNIAK,3901
ROSA,3899
KOLASA,3879
JACKOWSKI,3876
WOŚ,3863
BRODA,3862
DUDZIK,3856
LIPKA,3855
MROCZKOWSKI,3853
CHMURA,3847
OLCZAK,3845
IWAŃSKI,3842
KWIECIŃSKI,3827
DEC,3826
MAŚLANKA,3823
NOGA,3815
KNAPIK,3811
SKALSKI,3805
MAJKA,3801
KOGUT,3798
SALAMON,3790
CHOJNOWSKI,3783
MAŃKOWSKI,3781
SZATKOWSKI,3780
TOKARZ,3758
TRZECIAK,3755
KOZA,3754
KITA,3749
FLORCZAK,3744
WYSZYŃSKI,3744
DUDZIAK,3740
KOWALCZUK,3739
DOBRZYŃSKI,3737
STANISŁAWSKI,3735
KOŁAKOWSKI,3732
LENART,3732
MROZEK,3729
KOBUS,3728
BUCZYŃSKI,3725
PASZKOWSKI,3724
MOLENDA,3720
SKOWRONEK,3718
ZDUNEK,3718
KRUSZEWSKI,3717
MICHALCZYK,3711
WŁODARSKI,3711
KOS,3709
KOTOWSKI,3706
PUCHALSKI,3706
JANUSZEWSKI,3683
KIEŁBASA,3681
KAWA,3677
CHUDY,3655
ŻUK,3650
WARCHOŁ,3648
DOMINIAK,3645
CZECHOWSKI,3638
GRZESIK,3633
SHEVCHENKO,3628
ROBAK,3619
AUGUSTYN,3618
PILCH,3613
ADAMUS,3612
ADAMCZAK,3611
PIECHOTA,3605
PRUS,3604
WIĄCEK,3584
KŁOSOWSKI,3577
RYŚ,3575
MACIĄG,3574
ADAMEK,3571
CHUDZIK,3570
JAGIELSKI,3566
GŁOGOWSKI,3564
STOLARSKI,3560
RUDNIK,3555
BĄKOWSKI,3554
PRZYBYŁ,3554
JURCZAK,3553
SURMA,3552
KOPER,3548
RUDZIŃSKI,3539
FILIPOWICZ,3536
JARZĄBEK,3534
NIEDŹWIECKI,3531
BANASIK,3529
KALISZ,3529
ŻYŁA,3524
MALIK,3523
TOMALA,3523
MARCHEWKA,3521
MOSKAL,3517
DĄBKOWSKI,3509
KUŹMA,3506
KASPEREK,3500
PORĘBSKI,3500
BOIKO,3489
BUDZYŃSKI,3489
OLEKSY,3485
STAŃCZAK,3485
KOPACZ,3478
MOROZ,3465
GORCZYCA,3463
PIŁAT,3462
KANIEWSKI,3455
SOŁTYSIAK,3455
GADOMSKI,3453
NIEMCZYK,3451
FURMAN,3448
TRACZ,3443
WYPYCH,3438
BUCZKOWSKI,3436
ZIĘTEK,3430
IVANOV,3429
JAROS,3426
MIŚKIEWICZ,3424
ROMAN,3424
SZELĄG,3411
BARTNIK,3410
GOLEC,3399
SZYMKOWIAK,3388
DRABIK,3387
KORZENIOWSKI,3386
KUCIŃSKI,3384
SOJKA,3376
KRUCZEK,3366
WOLIŃSKI,3366
STACHURSKI,3356
BALCERZAK,3354
TRELA,3353
PIOTROWICZ,3347
ZABŁOCKI,3342
STACHOWICZ,3341
KUJAWSKI,3337
RYBARCZYK,3335
BŁASZCZAK,3334
MAGIERA,3333
RADECKI,3331
WARZECHA,3330
OSSOWSKI,3329
ADAMIAK,3325
PELC,3325
GŁĄB,3321
