Nazwisko_aktualne,Liczba
BAIZA,27
BAJTAŁA,27
BAKHMUT,27
BALLON,27
BALTER,27
BAŁACIŃSKA,27
BANDZMER,27
BANKS,27
BASAŁYGO,27
BASHKO,27
BASZ,27
BATKE,27
BATTEK,27
BAZDYRIEVA,27
BEHOUNEK,27
BEKASIŃSKA,27
BELINA-BRZOZOWSKA,27
BELKOT,27
BELOUS,27
BEŁWON,27
BEMBAS,27
BENSKA,27
BENTYN,27
BERAN,27
BERDEL,27
BERDOWICZ,27
BEREZHETSKA,27
BERNACIŃSKA,27
BERNADZIK,27
BERNET,27
BERSTLING,27
BERTASH,27
BEZNOSENKO,27
BEZUS,27
BHATIA,27
BIADALSKA,27
BIALE,27
BIAŁOKOZ,27
BIANCHI,27
BIBIŃSKA,27
BICHAJŁO,27
BICZEL,27
BIDACHA,27
BIEDUL,27
BIEDULEWICZ,27
BIELENIEWICZ,27
BIELENIK,27
BIENIOWSKA,27
BIERAS,27
BIERNIUKIEWICZ,27
BIETA,27
BIGAJCZYK,27
BILKEVYCH,27
BILOUSKO,27
BILOZUB,27
BIOŁY,27
BISAK,27
BLOMA,27
BLUMERT,27
BLÜMEL,27
BŁOCISZ,27
BOBRYSHEVA,27
BOCHEŃCZYK,27
BODEREK,27
BOGDANÓW,27
BOHDANKIEWICZ,27
BOHOSLAVSKA,27
BOHUŃ,27
BOIWKA,27
BOLESZCZUK,27
BOLHAROVA,27
BOŁTRUKANIS,27
BONCZYŃSKA,27
BONDZIOR,27
BONGILAJ,27
BORAWSKI,27
BORCAN,27
BORDO,27
BORKOWIAK,27
BORZEJEWICZ,27
BŐTTCHER,27
BRATEJKO,27
BRĄCEL,27
BRONISŁAWSKA,27
BRONZ,27
BROVARNA,27
BRÓŹDZIAK,27
BRUGIER,27
BRUIAKA,27
BRUKAŁO,27
BRUKARZ,27
BRUNARSKA,27
BRYKAILO,27
BRYNING,27
BRYSK,27
BRZOSTKIEWICZ,27
BUBLA,27
BUDONNA,27
BUDYKA,27
BUGLEWICZ,27
BUGWIN,27
BUHAJ,27
BUIAR,27
BURDENIUK,27
BURECKA,27
BUREĆ,27
BURKHARDT,27
BURKIETOWICZ,27
BURSIEWICZ,27
BURSZCZYK,27
BUSE,27
BUTAKOVA,27
BUTLAŃSKA,27
BUTRII,27
BUTRYK,27
BYCHYK,27
BYCZEWSKA,27
BYKIEWICZ,27
BYTOWSKA,27
BŹDZIUŁA,27
CACOŃ,27
CAŁUJ,27
CARPENTER,27
CECHOSZ,27
CEJMEROWSKA,27
CELENCEWICZ,27
CEPIEL,27
CHABUCKA,27
CHACIAK,27
CHACZYŃSKA,27
CHAIKO,27
CHAJDA,27
CHAMALA,27
CHANC,27
CHARCHALIS,27
CHASNYK,27
CHEKALINA,27
CHEMPIŃSKA,27
CHEPYHA,27
CHEREPANSKA,27
CHERESHNIUK,27
CHERVONIUK,27
CHICIŃSKA,27
CHILIMOŃCZYK,27
CHLISZCZ,27
CHŁAPIŃSKA,27
CHOBANU,27
CHOCISZEWSKA,27
CHOINKOWSKA,27
CHOPCIAN,27
CHORNOOKA,27
CHOROSTOWSKA,27
CHROBASIK,27
CHRZĄSZCZAK,27
CHWIEDZIEWICZ,27
CHWIETCZUK,27
CIĄGAŁA,27
CICIŃSKA,27
CIECHANEK,27
CIECIURSKA,27
CIEKIELSKA,27
CIEMIENIEWSKA,27
CIEŃSKA,27
CIERLUK,27
CIERPIAK,27
CIESIULEWICZ,27
CIESLA,27
CIESZANOWSKA,27
CINIECKA,27
CISSEWSKA,27
CIUPALSKA,27
CLEMENT,27
COMBLIK,27
CONTE,27
CURRAN,27
CYBOWSKA,27
CYMARA,27
CYRONEK,27
CYSARCZYK,27
CZAKAJ,27
CZARNOBA,27
CZECHAK,27
CZECHLOWSKA,27
CZECZKA,27
CZEKAL,27
CZERNAL,27
CZONSTKE,27
CZOPA,27
CZOPOWICZ,27
CZUBALSKA,27
CZUBASIEWICZ,27
CZYSZKIEWICZ,27
ĆWICZAK,27
DADASHOVA,27
DAMA,27
DAMULEWICZ,27
DANIŁÓW,27
DAWSZEWSKA,27
DEBICH,27
DEBRZAK,27
DEDYŃSKA,27
DEJAK,27
DEKREWICZ,27
DEMBIEC,27
DEMENKOVA,27
DEMURA,27
DENARSKA,27
DENCIKOWSKA,27
DENISOW,27
DEPIAK,27
DEREWIANKO,27
DIACZEK,27
DIACZENKO,27
DIADECHKO,27
DIEBEL,27
DIESING,27
DIETRICHKEIT,27
DITTMAJER,27
DIZHAK,27
DOǦAN,27
DOBROCKA,27
DOBROPOLSKA,27
DOBRZANIECKA,27
DOLAN,27
DOLENKO,27
DOLEŻYK,27
DOLICHER,27
DOŁBEŃ,27
DOŁKIN,27
DOMAŁACZNA,27
DOMAŁECZNA,27
DOMANOVA,27
DOMAŃCZYK,27
DOMASZEK,27
DOMBROWSKI,27
DOMIZIAK,27
DONAJKOWSKA,27
DONAKOWSKA,27
DONOVSKA,27
DOROŃ,27
DOROZHYNSKA,27
DORZAK,27
DRACHENKO,27
DRAŃCZUK,27
DREJARZ,27
DROMOVA,27
DROSD,27
DROŹDZIŃSKA,27
DRZEZGA,27
DUBEK,27
DUCHIEWICZ,27
DUDAREVA,27
DUDULSKA,27
DUDZINSKA,27
DUHAN,27
DUKACH,27
DUKLANOWSKA,27
DULIAS,27
DUMALEWSKA,27
DUMNICKA,27
DUNKEL,27
DUS,27
DUSHEIKO,27
DUSZOTA,27
DUTTA,27
DWORKOWSKA,27
DYKSIK,27
DYMORA,27
DYNARYŃSKA,27
DYRDÓŁ,27
DYRDUŁA,27
DZENISEVICH,27
DZHULA,27
DZIACZKOWSKA,27
DZIAGIEL,27
DZIAŁOWA,27
DZIEDUSZYCKA,27
DZIENIEWICZ,27
DZIERZON,27
DZIESZUK,27
DZIUBEŁA,27
DZIUBICKA,27
DZIUBKOWSKA,27
DZIURDZIEWICZ,27
DZIURZIK,27
DZUDZEWICZ,27
DŹWIGOŃSKA,27
DŻENDŻERA,27
EKALT,27
EKES,27
ELCESER,27
ELIJASZ,27
ENDZEL,27
EREŃSKA,27
ERLING,27
EVDOKIMOVA,27
FABRYKA,27
FAJERMAN,27
FAJKIER,27
FARYSEJ,27
FEDYNIUK,27
FEIFER,27
FELAKOWSKA,27
FELDT,27
FERA,27
FERDYCZ,27
FERLAK,27
FERNER,27
FIBIKOWSKA,27
FIEDKIEWICZ,27
FIONCEK,27
FISHMAN,27
FLIUNT,27
FLOHR,27
FLORCZYKIEWICZ,27
FLORYSZAK,27
FONTANA,27
FORTAK,27
FÓRMAN,27
FÓRMANOWICZ,27
FRASUŃSKA,27
FREJDA,27
FURCHEL,27
FURCIŃSKA,27
GADOMSKI,27
GADZIEJEWSKA,27
GAGLA,27
GAGUCKA,27
GAŁUSZCZYŃSKA,27
GAŁUZA,27
GAWĘSKA,27
GĄSIENICA-JÓZKOWY,27
GĄSIK,27
GE,27
GEMANDER,27
GENDASZYK,27
GERASZEK,27
GERELUK,27
GEROWSKA,27
GERSZYŃSKA,27
GESSE,27
GĘŚCIAK,27
GIBASZAK,27
GIEDZICZ,27
GIEMULA,27
GIERLA,27
GIERSIG,27
GIEWON,27
GILES,27
GIMIER,27
GINCZELEWSKA,27
GIREŃ,27
GIZEWSKA,27
GLABIAN,27
GLABISZ,27
GLEŃSKA,27
GLINDA,27
GLIZIA,27
GNACIKOWSKA,27
GNIELCZYK,27
GNIEWKIEWICZ,27
GOLCZUK,27
GOLDAS,27
GOLDSCHMIDT,27
GOLLAN,27
GOŃCZEWSKA,27
GORBACZEWSKA,27
GORBATIUK,27
GORGUL,27
GORKI,27
GORTATOWICZ,27
GORZAŁCZANY,27
GOŚCIŁOWICZ,27
GOTTHARDT,27
GRANATOWICZ,27
GRANDYBERG,27
GRAUŻUL,27
GRĄBKA,27
GRDUK,27
GRECZYN,27
GREIFF,27
GRIGORIEVA,27
GRITTNER,27
GRONDECKA,27
GRUCZKA,27
GRUDECKA,27
GRUENER,27
GRYGONIS,27
GRYNEVYCH,27
GRYWIŃSKA,27
GRYŹLAK,27
GRZEBELUS,27
GRZEBIENIEWSKA,27
GRZELĄZKA,27
GRZĘBKOWSKA,27
GUDACZEWSKA,27
GUMENYUK,27
GUMULEC,27
GUTAN,27
HABICHT,27
HAENEL,27
HAIDUKEVYCH,27
HAJIYEVA,27
HAJNRICH,27
HAJTKO,27
HALIASZ,27
HALICH,27
HANDZ,27
HANEBAUER,27
HANSCH,27
HANTZ,27
HARAJDA,27
HARANZHA,27
HARMS,27
HARNAHA,27
HAVADZYN,27
HAZELMAJER,27
HEBERLEJN,27
HEIDA,27
HEJN,27
HELEWSKA,27
HENNESSY,27
HENRIKSEN,27
HERMEL,27
HERNIAK,27
HERRERA,27
HINAILO,27
HISZCZYŃSKA,27
HLYNIANA,27
HŁADIO,27
HNATCHUK,27
HNATCZAK,27
HNATEK,27
HNYDA,27
HNYDIUK,27
HOCWIK,27
HODYR,27
HOFANOWSKA,27
HOJNIK,27
HOLIEVA,27
HOLKE,27
HOLSKA,27
HOLTSEVA,27
HOLUBOVYCH,27
HOŁDOWSKA,27
HONCHARIUK,27
HOPKA,27
HORBONOS,27
HORIAIEVA,27
HORNICZAK,27
HORNOSTAI,27
HORPYNIUK,27
HOSZYCKA,27
HRECHYNA,27
HRECZUK,27
HREHORUK,27
HRESKIV,27
HRYCENKO,27
HRYDINA,27
HRYHORETS,27
HRYNEVICH,27
HRYSHKEVYCH,27
HUCHLER,27
HUFNAGEL,27
HULYCH,27
HUMINIAK,27
HUREJ,27
HURKOVSKA,27
HUTOR,27
HYŁEK,27
HYŚ,27
IBADOVA,27
IDRIAN,27
IGNACIAK,27
ILASHCHUK,27
ILINYKH,27
ILMAK,27
IM,27
IMALSKA,27
ISRAEL,27
IUSUBOVA,27
IVAKHNO,27
IVASHKEVICH,27
IVKOVA,27
IWAT,27
IZAKIEWICZ,27
JABCZANIK,27
JACEL,27
JACHCZYK,27
JACHTA,27
JACKOWSKI,27
JACZNIK,27
JAKIMISZYN,27
JAKOBUS,27
JAKUSZEWICZ,27
JANCZYŁO,27
JARASZKIEWICZ,27
JARZYNIAK,27
JASUDOWICZ,27
JASZCZYKOWSKA,27
JATTA,27
JAWDOSIUK,27
JEBUT,27
JEREMENKO,27
JOACHIMCZAK,27
JONACZYK,27
JONCA,27
JÓRZ,27
JUCHTA,27
KACHNOWSKA,27
KACZKIEŁŁO,27
KACZKOŚ,27
KACZUK,27
KAĆKIEWICZ,27
KALBARZ,27
KALIUSH,27
KALKE,27
KALNIUK,27
KALNYK,27
KALYNKA,27
KAMKA,27
KANISHCHEVA,27
KANKE,27
KANSKA,27
KAPIJ,27
KAPITAŃCZYK,27
KAPTURZAK,27
KARALASH,27
KAREK,27
KARPINIAK,27
KASEK,27
KASPAREWICZ,27
KASSEM,27
KAUCZ,27
KAWACZ,27
KAWALERCZYK,27
KAZIERSKA,27
KĄPA,27
KENDELEWICZ,27
KĘDZIORCZYK,27
KHAR,27
KHARABARA,27
KHATSKEVICH,27
KHRUPCHYK,27
KHVOROST,27
KICEL,27
KICZUŁA,27
KIEBASIŃSKA,27
KIEŁSZNIA,27
KIERBEDŹ,27
KIEROMIN,27
KIFNER,27
KILMAN,27
KIMONT,27
KINDII,27
KINERT,27
KIRCHOF,27
KIRILLOVA,27
KISYK,27
KISZOWARA,27
KIZENKO,27
KIZLICH,27
KIZOWSKA,27
KLACZKA,27
KLAZURA,27
KLEISTER,27
KLEJNY,27
KLEKOTA,27
KLEPANDA,27
KLICHTA,27
KLIMISHYNA,27
KLIMUS,27
KLOBUCH,27
KLOCKO,27
KLOHS,27
KLORYGA,27
KLUKOSZOWSKA,27
KLUWE,27
KŁAPOUCH,27
KMIETCZYK,27
KNIGA,27
KOBITA,27
KOBUSIAK,27
KOCUS,27
KOENNER,27
KOGAN,27
KOGUCIŃSKA,27
KOHUCH,27
KOKA,27
KOKAR,27
KOKHMAN,27
KOKOSHA,27
KOLBOWICZ,27
KOŁACHA,27
KOŁBAN,27
KOMIAGO,27
KOMOVA,27
KOMPALLA,27
KOMSKA,27
KONARCZYK,27
KONCEREWICZ,27
KONOLOSH,27
KONWANT,27
KOPERNOK,27
KOPNIEWSKA,27
KOPRYNA,27
KOPYLETS,27
KORAJCZYK,27
KORKO,27
KORNII,27
KORSZYŁOWSKA,27
KORUC,27
KOSIATY,27
KOSTRACH,27
KOSZALIŃSKA,27
KOSZANY,27
KOŚCIUCHA,27
KOTTERBA,27
KOTYNIAK,27
KOWERCZUK,27
KOZANKA,27
KOZIENIEC,27
KOZIORZĘBSKA,27
KOZŁÓW,27
KÖSE,27
KRAIK,27
KRAILO,27
KRAMAREWICZ,27
KRASIKOVA,27
KRAWENTEK,27
KRĄP,27
KREJCZMAN,27
KRELL,27
KREMPLEWSKA,27
KRĘCIJASZ,27
KRĘCIKIJ,27
KRUSHEVSKA,27
KRUSZE,27
KRUTELEWICZ,27
KRUTKIEWICZ,27
KRUZE,27
KRUZHKOVA,27
KRYKANT,27
KRYMINSKA,27
KRYSHTOF,27
KRYSZCZYSZYN,27
KRYWIAK,27
KRZYCHOWICZ,27
KRZYSTOSZEK,27
KRZYWULICZ,27
KRZYŻANKIEWICZ,27
KUBALIK,27
KUBAWSKA,27
KUBEC,27
KUBICH,27
KUBINIOK,27
KUCHERAK,27
KUDLAIENKO,27
KUKAVA,27
KUKINA,27
KULIJ,27
KULIKIEWICZ,27
KULYKIVSKA,27
KUMANEK,27
KUNTS,27
KUNTZ,27
KUNTZE,27
KUPRIICHUK,27
KURCBUCH,27
KURCOK,27
KURDUPSKA,27
KURKOVA,27
KURYLCZYK,27
KURYSIA,27
KUSHKO,27
KUSHPIL,27
KUŚMIDERSKA,27
KUZBORSKA,27
KUZMAK,27
KUZMENKOVA,27
KUZMYCHOVA,27
KUŻOWNIK,27
KVACHUK,27
KVITKOVSKA,27
KWIENDACZ,27
KYSHCHUK,27
LÊ THỊ,27
LACHUR,27
LAMERS,27
LAND,27
LAPEUSZ,27
LATALSKA,27
LATII,27
LAUFERSKA,27
LAUZER,27
LEGIECKA,27
LEIBA,27
LEK,27
LELĄTKO,27
LEMCZYK,27
LEMIESZKIEWICZ,27
LEMISHKO,27
LEMM,27
LEONTOWICZ,27
LEPACKA,27
LEPEK,27
LEPTUCH,27
LERMAN,27
LERNACIŃSKA,27
LESZCZYNSKA,27
LEWSZUK,27
LICHMIRA,27
LICHOWICZ,27
LICHTOŃ,27
LIGACZ,27
LINDECKA,27
LINDEL,27
LINDENBERG,27
LISNICHENKO,27
LIŚNIEWSKA,27
LITKEVYCH,27
LITWINÓW,27
LIUTENKO,27
LIUTIKOVA,27
LIWARA,27
LOHINA,27
LOMPERTA,27
LOOK,27
LOVE,27
LOVKINA,27
LOZAN,27
LUCZAK,27
LUPUL,27
LYLAK,27
LYN,27
LYPOVENKO,27
ŁAPIGROWSKA,27
ŁAPO,27
ŁAWIDA,27
ŁAWRUKIEWICZ,27
ŁAZDOWSKA,27
ŁAZOWA,27
ŁĄCZKOWIAK,27
ŁĄDKOWSKA,27
ŁEJMEL,27
ŁOBARZEWSKA,27
ŁODKO,27
ŁOSYK,27
ŁOZOWA,27
ŁUSIACZYK,27
ŁUTAJ,27
MACHTYLSKA,27
MACOSZEK,27
MACZAŁA,27
MACZUKIN,27
MADEJSZA,27
MAGIERECKA,27
MAHALIAS,27
MAHDIUK,27
MAIKHER,27
MAJIK,27
MAJSIUK,27
MAJSTER,27
MAKHONINA,27
MAKOSCH,27
MAKŚWIEJ,27
MALASHCHUK,27
MALCHROWICZ,27
MALITEK,27
MALIUKINA,27
MANDRAK,27
MANORYK,27
MARA,27
MARGIELEWICZ,27
MARINKOVIĆ,27
MARKUNAS,27
MARNY,27
MARSZAŁA,27
MARYNOVSKA,27
MASIREK,27
MASLAVA,27
MASZTANOWICZ,27
MATAREWICZ,27
MATERLAK,27
MATEUSZÓW,27
MATIIUK,27
MATIUSHKO,27
MATSEIKO,27
MATSIBORA,27
MATSIBORKO,27
MATUSZOWICZ,27
MAUCH,27
MAUREK,27
MAZARAKI,27
MAZNICHENKO,27
MCDONNELL,27
MECHEL,27
MEDIUCH,27
MEJA,27
MEJNARTOWICZ,27
MEJZNER,27
MENDYCHOWSKA,27
MERKUN,27
MERTSALOVA,27
MIADZIELEC,27
MICHALA,27
MICHALONEK,27
MIELAN,27
MIELCZARKOWSKA,27
MIKÓŁKA,27
MIKULICH,27
MIKULSKI,27
MILNE,27
MIŁACZEWSKA,27
MIŁOSTAN,27
MINARTOWICZ,27
MINIEIEVA,27
MIRCZUK,27
MIRETSKA,27
MISHKINA,27
MISIO,27
MISIÓRNA,27
MISZEL,27
MITIAIEVA,27
MITMAŃSKA,27
MITROFANIUK,27
MŁODOSZEWSKA,27
MŁUDZIŃSKA,27
MOHAMAD,27
MOKROUSOVA,27
MOLODCHENKO,27
MONACHOWICZ,27
MORASZ,27
MORGENSTERN,27
MORKO,27
MORLEY,27
MORZYSZEK,27
MOSIEJEWSKA,27
MOSTIPAN,27
MOTYŁA,27
MOWLIK,27
MOZIO,27
MRUKOT,27
MRUSZCZAK,27
MUKHANOVA,27
MULŻYŃSKA,27
MUŁKOWSKA,27
MUNDZIA,27
MURASICKA,27
MURAWICKA,27
MURCHA,27
MURCZYŃSKA,27
MUROWICKA,27
MUSAYEVA,27
MUSIAKA,27
MYKHAYLOVA,27
MYKYTSEI,27
MYRONOVYCH,27
MYSIK,27
MYSZCZUK,27
MYSZONA,27
MYŚLINSKA,27
MYZIAK,27
NACFALSKA,27
NADBRZEŻNA,27
NADLER,27
NADOLSKI,27
NADOWSKA,27
NAGAWSKA,27
NAGOLSKA,27
NAHAIEVA,27
NAJDO,27
NAŁYSNYK,27
NAMIŃSKA,27
NANEK,27
NARAJEWSKA,27
NARAS,27
NARBUNTOWICZ,27
NARĘBSKA,27
NAROSKA,27
NASEWICZ,27
NASTASZYC,27
NASTULAK,27
NAŚCIUK,27
NATTERMANN,27
NAUMKO,27
NAUMÓW,27
NECHYPOR,27
NEGRU,27
NENTWICH,27
NEROJ,27
NESPLIAK,27
NETREBENKO,27
NEZDROPA,27
NĘDZOŁEK,27
NICIPORUK,27
NICZYPOR,27
NIEDZBAŁA,27
NIEGOCKA,27
NIERADKIEWICZ,27
NIESZCZERZEWICZ,27
NIETRZPIEL,27
NIEWEŚ,27
NIEZDROPA,27
NIJAKI,27
NISHCHENKO,27
NISZCZOT,27
NITUPSKA,27
NITZLER,27
NIŻBORSKA,27
NOGAWCZYK,27
NOH,27
NORTON,27
NOSUL,27
NOVICHKOVA,27
NOWASZEWSKA,27
NOWIAK,27
NOWOWSIAK,27
NOWROTH,27
NUZHNENKO,27
NYŚK,27
OBERNIKOWICZ,27
OBERT,27
OCHĘDUSZKA,27
OCHNIOWSKA,27
OCZK,27
ODARCHENKO,27
ODO,27
ODYJEWSKA,27
ODZIEWA,27
OELBERG,27
OGLĘDZKA,27
OGORODNIK,27
OKONIEWICZ,27
OLCHOWICZ,27
OLEBA,27
OLEKSIIOVETS,27
OLPIŃSKA,27
OMYLIŃSKA,27
ONDERKO,27
ONUFRYJENKO,27
ORISHKO,27
ORNAROWICZ,27
OS,27
OSMYCKA,27
OSOCHOCKA,27
OSOWCZYK,27
OSSOWICZ,27
OSTAPOWSKA,27
OSTREK,27
OVECHKINA,27
OZYRA,27
PACE,27
PADNIEWSKA,27
PADZIKOWSKA,27
PAGOS,27
PAKHALIUK,27
PAKHUTA,27
PALETTA,27
PALINIEWICZ,27
PALKIEWICZ,27
PALLASCH,27
PALSKA,27
PAŁKOŃ,27
PANASOWIEC,27
PANIUSHKINA,27
PANKIEIEVA,27
PANKOVETS,27
PANSHYNA,27
PAŃCZYSZAK,27
PAPADOPULU,27
PARANYCZ,27
PARTYCZNA,27
PARUBOCHA,27
PARZĘCZEWSKA,27
PASDZIOR,27
PATOTSKAYA,27
PATREJKO,27
PATUSZCZYK,27
PAVLYSH,27
PAWLIKÓW,27
PAWŁOSZEK,27
PAZDECKA,27
PAŹDZIORNY,27
PELCNER,27
PELECHOWICZ,27
PELICA,27
PEŁKO,27
PEŁZAK,27
PEREKOPSKA,27
PERNEJ,27
PERNER,27
PESHKOVA,27
PESTROWICZ,27
PETROWSKA,27
PETRUCHOK,27
PETRYKIEWICZ,27
PEWCA,27
PĘTEK,27
PIATKO,27
PICHA,27
PIDCHENKO,27
PIEKH,27
PIELARSKA,27
PIELAWA,27
PIENIOWSKA,27
PIETA,27
PIETROSIUK,27
PIETRZYKOWSKI,27
PIĘCIUREK,27
PIJAJ,27
PILIUHINA,27
PINTOS,27
PIRASZEWSKA,27
PIROSZ,27
PIŚCIO,27
PIWUDZKA,27
PLATON,27
PLESKUN,27
PLICHCIŃSKA,27
PLISZKIEWICZ,27
PLIUSNINA,27
PLONDER,27
PLOTNYKOVA,27
PLUDER,27
PLUTO PRĄDZYŃSKA,27
PLUZHNIKOVA,27
PŁAWCZYK,27
PŁECKA,27
PŁOTAŁA,27
PŁUKARSKA,27
PNIAKOWSKA,27
POCHODOWICZ,27
POCZMAŃSKA,27
PODEBRY,27
PODGRODZKA,27
PODOLAN,27
PODOROZHNIA,27
PODRÓŻNA,27
POGORIELOVA,27
POGORZELSKI,27
POHORILETS,27
POKHYLENKO,27
POKLEPA,27
POKOLEŃCZUK,27
POKWAP,27
POLANKIEWICZ,27
POLAŃCZUK,27
POLAP,27
POLECIŃSKA,27
POLENZ,27
POLIEVA,27
POLITYCKA,27
POLIWODZIŃSKA,27
POŁONECKA,27
POMANA,27
PONIMASZ,27
POPIWCZAK,27
POPOVICH,27
POPRZECZKA,27
PORTALA,27
PORZECKA,27
POSELT,27
POSHTARENKO,27
POSOBKIEWICZ,27
POSPIESZALSKA,27
POŚWIĄTNA,27
POTASIEWICZ,27
POTURAI,27
POVAZHNA,27
POWROZIEWICZ,27
POZIERAK,27
POZIOMECKA,27
PÓŁKOWNIK,27
PÓŹNIECKA,27
PRACHOWSKA,27
PRADHAN,27
PRAGNĄCY,27
PREDECKA,27
PREDYGIER,27
PROBALA,27
PRODEUS,27
PROST,27
PROSZYK,27
PROWDA,27
PRZĄDKIEWICZ,27
PRZEBIROWSKA,27
PRZEDZIŃSKA,27
PRZYBIK,27
PRZYKLINK,27
PSZENICKA,27
PUCHTEL,27
PUFAHL,27
PUJSZA,27
PUŁYM,27
PUNTUS,27
PUPIK,27
PURII,27
PUSTOVALOVA,27
PUTII,27
PUTTKAMMER,27
PYCHNER,27
PYSANA,27
RABIZO,27
RABKO,27
RABKOWSKA,27
RABSCH,27
RADZIWONOWSKA,27
RADZWAN,27
RAITER,27
RAMĘDA,27
RAMZ,27
RAREK,27
RASIEŃSKA,27
RASZEK,27
RATNIKOVA,27
REDING,27
REGINIS,27
REJMICZ,27
REKUSZ,27
REMIEŃ,27
REMPLAKOWSKA,27
RENHACH,27
RESZOTNIK,27
REYER,27
RĘGOCKA,27
RĘPIŃSKA,27
RIABENKA,27
RIEZANOVA,27
ROBOWSKA,27
ROGALL,27
ROGENBUK,27
ROGIN,27
ROGOJSZA,27
ROHAL,27
ROHATSKA,27
ROKITSKA,27
ROSHAK,27
ROSZCZKA,27
ROZESŁAŃSKA,27
RÓŻAŃSKI,27
RUBISZEWSKA,27
RUBLOVA,27
RUDOLPHI,27
RUMIANCEW,27
RUSNIAK,27
RYJO,27
RYSZTOF,27
RYTEL-SIŁKA,27
RZEŻUTKA,27
SACIŃSKA,27
SACZYK,27
SADKOVA,27
SADOVNYCHA,27
SADRZAK,27
SAHAJDAK,27
SALAMONOWSKA,27
SALATERSKA,27
SALINGER,27
SALWIRAK,27
SAŁADIAK,27
SAMOTYJ,27
SANGÓRSKA,27
SAPKOTA,27
SASHCHUK,27
SATKO,27
SAVAGE,27
SAVIELIEVA,27
SCHATTON,27
SCHEIBEL,27
SCHÖNFELD,27
SCHUFREIDA,27
SCHWITALLA,27
SECHYNA,27
SEGEŃ,27
SEIDE,27
SEKLER,27
SEKRETARCZYK,27
SEKUNA,27
SELISHCHEVA,27
SELMA,27
SEPKOWSKA,27
SERDEHA,27
SERENKO,27
SĘDAL,27
SFORA,27
SHANIUK,27
SHARIFOVA,27
SHCHEBLYKINA,27
SHCHERBACHUK,27
SHCHESNIAK,27
SHEEHAN,27
SHESHENIA,27
SHKOLIARENKO,27
SHKRABA,27
SHOROBURA,27
SHPACHUK,27
SHUHAILO,27
SHULAK,27
SHULIHA,27
SHVAHER,27
SHYNKARIUK,27
SIANOSZEK,27
SIARHEI,27
SIARKOWICZ,27
SIASTAŁA,27
SICHELSKA,27
SIDERSKA,27
SIEMIĄCZKO,27
SIEMINIAK,27
SIERADZKI,27
SIERSZCHUŁA,27
SIJER,27
SILEWICZ,27
SIŁKO,27
SINCLAIR,27
SINHA,27
SIREDZHUK,27
SKARLAK,27
SKILSKA,27
SKOBEJKO,27
SKORKO,27
SKORNIEWSKA,27
SKORUCH,27
SKRABUŁA,27
SKROBOTOWICZ,27
SKUDŁO,27
SKUDNIEWSKA,27
SKULMOWSKA,27
SKURCZAK,27
SKYDANCHUK,27
SLAS,27
SLUCHYK,27
SŁAWIEC,27
SŁAWINOWSKA,27
SŁOKOTOWICZ,27
SŁUP,27
SŁUPICKA,27
SMAGOROWICZ,27
SMARZYCH,27
SMEJLIS,27
SMOLIBOCKA,27
SMOLOVA,27
SMOŁAGA,27
SMORENDA,27
SMROKOWSKA,27
SMYKAL,27
SMYKOVA,27
SMYRD,27
SOCHYNSKA,27
SOLODIUK,27
SOROTOWICZ,27
SOŚNIA,27
SPICZAK,27
SPISACKA,27
SPLEWIŃSKA,27
SPORYSIAK,27
SPOTTEK,27
SPROWNIK,27
SPYRCZYŃSKA,27
SRIVASTAVA,27
SROCZKOWSKA,27
STADNICHUK,27
STAISCH,27
STANIEVA,27
STANIOWSKA,27
STANISLAVOVA,27
STAŃCZYSZYN,27
STAROBRZYŃSKA,27
STAŚKIEL,27
STĄŻKA,27
STECHLIŃSKA,27
STEELE,27
STEMPOR,27
STEPANOWICZ,27
STETSYUK,27
STĘPCZYK,27
STOCKER,27
STOK,27
STOLIARUK,27
STOS,27
STRAŻEWSKA,27
STRÓŻKA,27
STULDYCH,27
STÜRMER,27
STYBOWSKA,27
SUDZIARSKA,27
SUKHAREVA,27
SUKHOMLYNOVA,27
SULIATYTSKA,27
SUŁKO,27
SUMMERS,27
SUMOROWSKA,27
SUPERNOK,27
SURMANIDZE,27
SWADZYNIAK,27
SWEDURA,27
SWORZENIOWSKA,27
SYCZYŁO,27
SYKOSZ,27
SYROKHMAN,27
SZAFKOWSKA,27
SZAFRATOWICZ,27
SZAJC,27
SZAJNY,27
SZANKIN,27
SZANTAR,27
SZASTAJ,27
SZAWERDAK,27
SZCZEGLIK,27
SZCZĘŚĆ,27
SZCZOTKO,27
SZECHNICKA,27
SZEIB,27
SZEJBACH,27
SZEMET,27
SZIMKE,27
SZKIEŁKA,27
SZKIL,27
SZKOBODZIŃSKA,27
SZKOC,27
SZKUDŁO,27
SZKUTEK,27
SZLAUR,27
SZLEJA,27
SZLIJAN,27
SZOJER,27
SZOKIEL,27
SZPADEL,27
SZPEJNOWSKA,27
SZPERNAL,27
SZPRYNGER,27
SZPULARZ,27
SZRUBKOWSKA,27
SZTABOWSKA,27
SZTAJDEL,27
SZTECHMILER,27
SZTEFEK,27
SZTENDER,27
SZTER,27
SZTOBSKA,27
SZTOMBERSKA,27
SZTRAJBEL,27
SZTYGLIC,27
SZUBIGA,27
SZUKSZTA,27
SZUMEGA,27
SZUMIELA,27
SZUMILEWICZ,27
SZUPŁAK,27
SZURBAK,27
SZUSZAKIEWICZ,27
SZWALGIN,27
SZWALUK,27
