Nazwisko_aktualne,Liczba
ŻURAWSKA,6608
ŻUREK,6605
ZAWADA,6602
GODLEWSKA,6594
BIENIEK,6573
AUGUSTYNIAK,6547
CZYŻ,6527
KOMOROWSKA,6509
MELNYK,6486
SKRZYPCZAK,6438
GROCHOWSKA,6433
GRUSZKA,6413
GÓRKA,6386
KUŚ,6377
RÓŻAŃSKA,6374
WINIARSKA,6352
PRZYBYŁA,6338
SZCZĘSNA,6322
KULIK,6319
CYBULSKA,6308
KRAWIEC,6261
LEŚNIEWSKA,6255
ZAREMBA,6223
PTAK,6219
KONOPKA,6213
PANEK,6200
GIL,6158
SŁOWIK,6157
KRZYŻANOWSKA,6147
TOKARSKA,6116
CICHOCKA,6115
CICHOŃ,6109
MIKOŁAJCZAK,6109
SZCZEPANIK,6087
SIWEK,6053
MIELCZAREK,6004
ZARZYCKA,5968
GRACZYK,5950
MŁYNARCZYK,5943
STRZELECKA,5938
SZYMCZYK,5925
BARTKOWIAK,5924
BUCZEK,5900
KŁOS,5895
MAĆKOWIAK,5875
STAŃCZYK,5870
KACZYŃSKA,5853
SZCZYGIEŁ,5841
KOSTRZEWA,5820
BIERNAT,5810
SZOSTAK,5806
JANUS,5805
JANIAK,5802
WĘGRZYN,5796
NIEWIADOMSKA,5788
SIENKIEWICZ,5759
GRZYB,5757
FILIPIAK,5754
SKOWRON,5747
KUCHARCZYK,5740
KALETA,5704
GÓRNA,5698
BOGUSZ,5676
GAWRON,5676
JUREK,5660
RAKOWSKA,5660
KUBIK,5649
BAGIŃSKA,5640
KSIĄŻEK,5631
CIEŚLA,5618
GĄSIOR,5603
ANTCZAK,5596
BARTCZAK,5578
BANASIAK,5577
ŻEBROWSKA,5573
RÓŻYCKA,5559
GAWLIK,5552
KRÓLIKOWSKA,5510
MIKULSKA,5489
ZARĘBA,5485
HAJDUK,5484
TRZCIŃSKA,5482
KULA,5480
ROGALSKA,5434
FRĄCZEK,5417
DŁUGOSZ,5406
GRZEGORCZYK,5404
RZEPKA,5395
ROJEK,5387
MALEC,5372
ROGALA,5362
MALISZEWSKA,5357
TROJANOWSKA,5352
RADOMSKA,5341
GAWROŃSKA,5334
PAŁKA,5324
DOBOSZ,5321
WITCZAK,5283
TKACZYK,5268
STEC,5249
BOREK,5238
RYBICKA,5233
LACH,5217
MIKA,5175
FRANKOWSKA,5152
KISIEL,5141
BOGUCKA,5138
ZABOROWSKA,5100
WĄSIK,5092
ŚLUSARCZYK,5087
KARWOWSKA,5085
KACZOROWSKA,5076
GAŁĄZKA,5065
KMIECIK,5031
GRZESIAK,5026
KWAŚNIEWSKA,5016
WIĘCKOWSKA,5011
LIPSKA,4987
KUBACKA,4968
BIAŁAS,4963
WALKOWIAK,4949
BOCHENEK,4926
PIETRAS,4925
FRĄCKOWIAK,4924
JANAS,4924
JUSZCZAK,4902
DUDZIŃSKA,4900
SOKÓŁ,4900
WOJTCZAK,4896
PAWELEC,4895
KOVALCHUK,4885
MROCZEK,4877
WNUK,4877
NAWROT,4875
WÓJCICKA,4855
LASOTA,4851
ROSIAK,4831
ZYGMUNT,4821
PASTERNAK,4819
JĘDRZEJCZYK,4802
BURZYŃSKA,4789
WROŃSKA,4788
KOŁODZIEJSKA,4787
SKRZYPEK,4784
CZYŻEWSKA,4783
PIWOWARCZYK,4781
SZAFRAŃSKA,4772
SHEVCHENKO,4761
FIJAŁKOWSKA,4753
GRUSZCZYŃSKA,4750
ŁUKASIEWICZ,4742
ŻMUDA,4740
KRYSIAK,4733
PIÓRKOWSKA,4725
JURKIEWICZ,4720
BOROWIEC,4712
JAGIEŁŁO,4709
ZAJĄCZKOWSKA,4700
MISIAK,4693
ŁAPIŃSKA,4684
JAGODZIŃSKA,4683
MASŁOWSKA,4674
DĄBEK,4671
KRAKOWIAK,4671
BUJAK,4661
LISIECKA,4654
JĘDRZEJCZAK,4649
GAWEŁ,4634
PILARSKA,4624
DZIUBA,4592
WILCZEK,4590
GUTOWSKA,4584
SOBIERAJ,4572
KARAŚ,4567
FLIS,4565
DRZEWIECKA,4554
TWARDOWSKA,4554
STRZELCZYK,4551
STELMACH,4537
BIELAWSKA,4535
DĘBOWSKA,4515
SKIBIŃSKA,4515
ŁUKASZEWSKA,4514
KUBICA,4502
ROMANIUK,4496
ZIELONKA,4494
TARNOWSKA,4493
SKOCZYLAS,4491
FALKOWSKA,4476
SZCZEŚNIAK,4474
BOBER,4472
KAŁUŻA,4469
SOŁTYS,4466
CYGAN,4455
RACZYŃSKA,4442
BILSKA,4441
JAKUBIAK,4423
FILIPEK,4419
PAKUŁA,4418
MIERZEJEWSKA,4411
CEBULA,4390
SZWED,4385
GĄSIOROWSKA,4371
GÓRNIAK,4367
WASIAK,4359
BARTOSIK,4349
STANEK,4341
MAJCHER,4340
KĘDZIORA,4331
WIĘCEK,4316
GUZIK,4314
NOWACZYK,4299
KRUPIŃSKA,4294
RUSIN,4293
STASZEWSKA,4280
STOLARCZYK,4277
URBAŃCZYK,4271
MATUSZAK,4268
GÓRAL,4264
CISZEWSKA,4253
JAŚKIEWICZ,4247
KULIG,4245
WOLAK,4240
CZAPLA,4239
KOPCZYŃSKA,4234
ZAGÓRSKA,4220
DROZDOWSKA,4219
PARTYKA,4215
IVANOVA,4203
RUCIŃSKA,4194
FLOREK,4187
ZWOLIŃSKA,4184
SIEDLECKA,4176
MOTYKA,4168
KASZUBA,4166
SŁOWIŃSKA,4163
GRZYWACZ,4160
KACZMARSKA,4160
BOIKO,4155
PACZKOWSKA,4153
GOŁĄB,4152
PYTEL,4150
SŁAWIŃSKA,4147
MODZELEWSKA,4144
CHOLEWA,4143
KAŁUŻNA,4143
MISZTAL,4137
MILCZAREK,4120
ANDRZEJCZAK,4119
PAWLIKOWSKA,4118
PROKOP,4116
WOJTAS,4115
DUBIEL,4111
JEZIERSKA,4106
MICHAŁEK,4100
JACKOWSKA,4086
STACHURA,4065
MALICKA,4055
GWÓŹDŹ,4046
SOCHACKA,4043
BIELAK,4035
BIEŃKOWSKA,4032
SKALSKA,4032
BOŻEK,4030
ROSA,4029
JURKOWSKA,4024
BONDARENKO,4020
SZYSZKA,4019
KĘPA,4016
ŚWIERCZYŃSKA,4014
OLCZAK,4007
SIERADZKA,4005
KUCHTA,4001
SZCZERBA,3987
KUC,3982
GAŁKA,3975
JANKOWIAK,3974
KWIECIŃSKA,3973
JANUSZ,3966
PŁONKA,3966
BRODA,3962
CHOJNOWSKA,3960
IWAŃSKA,3938
KNAPIK,3938
MROCZKOWSKA,3938
STĘPNIAK,3938
KOVALENKO,3936
DUDZIK,3935
PASZKOWSKA,3933
KOLASA,3931
SITEK,3920
WOŚ,3917
MOROZ,3916
KRUSZEWSKA,3914
LENART,3906
CHMURA,3905
SZATKOWSKA,3902
SUSKA,3887
KAPUSTA,3883
SKÓRA,3880
DEC,3861
WYSZYŃSKA,3857
MAJKA,3849
KOWALCZUK,3844
STANISŁAWSKA,3837
FLORCZAK,3816
SALAMON,3816
CZECHOWSKA,3814
PUCHALSKA,3812
DOMINIAK,3807
WŁODARSKA,3804
DUDZIAK,3803
ZDUNEK,3796
LIPKA,3786
TRZECIAK,3786
MAŃKOWSKA,3785
AUGUSTYN,3784
JANUSZEWSKA,3782
MICHALCZYK,3776
TOKARZ,3773
KOTOWSKA,3770
KAWA,3763
MOLENDA,3760
ADAMCZAK,3757
SKOWRONEK,3756
TOMALA,3752
BUCZYŃSKA,3751
FILIPOWICZ,3743
ADAMEK,3739
KOŁAKOWSKA,3729
GŁOGOWSKA,3726
MROZEK,3711
KOBUS,3709
MAŚLANKA,3708
JAGIELSKA,3706
KITA,3704
KOGUT,3700
KOPER,3693
ADAMUS,3688
PIECHOTA,3685
PILCH,3685
NOGA,3683
ZIĘTEK,3672
MALIK,3671
KANIEWSKA,3670
STOLARSKA,3670
DOBRZYŃSKA,3663
GORCZYCA,3648
GRZESIK,3638
BANASIK,3629
ŻUK,3628
ROBAK,3620
BĄKOWSKA,3619
BUDZYŃSKA,3611
MACIĄG,3606
NIEDŹWIECKA,3603
JURCZAK,3600
CHUDZIK,3595
NIEMCZYK,3585
